"Device: E-TC"
"Serial Number: 20ABC75"
"Channel Count: 3"
"Sample Count: 30582"
"Start Time: 1/9/2023 12:19:43.95 PM"
"Scan Rate: 100"
"Sample","Date/Time","AI0 (°C)","AI1 (°C)","AI2 (°C)"
"147","1/9/2023 12:19:45.43 PM","11.213193893","415.832977295","23.087718964"
"148","1/9/2023 12:19:45.44 PM","11.213193893","415.832977295","23.087718964"
"149","1/9/2023 12:19:45.45 PM","11.213193893","415.832977295","23.087718964"
"150","1/9/2023 12:19:45.46 PM","11.213193893","415.832977295","23.087718964"
"151","1/9/2023 12:19:45.47 PM","11.213193893","415.832977295","23.087718964"
"152","1/9/2023 12:19:45.48 PM","11.213193893","415.832977295","23.087718964"
"153","1/9/2023 12:19:45.49 PM","11.213193893","415.832977295","23.087718964"
"154","1/9/2023 12:19:45.50 PM","11.213193893","415.832977295","23.087718964"
"155","1/9/2023 12:19:45.51 PM","11.213193893","415.832977295","23.087718964"
"156","1/9/2023 12:19:45.52 PM","11.213193893","415.832977295","23.087718964"
"157","1/9/2023 12:19:45.53 PM","11.217530251","415.832977295","23.087718964"
"158","1/9/2023 12:19:45.54 PM","11.217530251","415.832977295","23.087718964"
"159","1/9/2023 12:19:45.55 PM","11.217530251","415.832977295","23.087718964"
"160","1/9/2023 12:19:45.56 PM","11.217530251","415.832977295","23.087718964"
"161","1/9/2023 12:19:45.57 PM","11.217530251","415.832977295","23.087718964"
"162","1/9/2023 12:19:45.58 PM","11.217530251","414.947509766","23.087718964"
"163","1/9/2023 12:19:45.59 PM","11.217530251","414.947509766","23.087718964"
"164","1/9/2023 12:19:45.60 PM","11.217530251","414.947509766","23.087718964"
"165","1/9/2023 12:19:45.61 PM","11.217530251","414.947509766","23.087718964"
"166","1/9/2023 12:19:45.62 PM","11.217530251","414.947509766","23.087718964"
"167","1/9/2023 12:19:45.63 PM","11.217530251","414.947509766","23.087718964"
"168","1/9/2023 12:19:45.64 PM","11.217530251","414.947509766","23.023002625"
"169","1/9/2023 12:19:45.65 PM","11.217530251","414.947509766","23.023002625"
"170","1/9/2023 12:19:45.66 PM","11.217530251","414.947509766","23.023002625"
"171","1/9/2023 12:19:45.67 PM","11.217530251","414.947509766","23.023002625"
"172","1/9/2023 12:19:45.68 PM","11.217530251","414.947509766","23.023002625"
"173","1/9/2023 12:19:45.69 PM","11.217530251","414.947509766","23.023002625"
"174","1/9/2023 12:19:45.70 PM","11.217530251","414.947509766","23.023002625"
"175","1/9/2023 12:19:45.71 PM","11.217530251","414.947509766","23.023002625"
"176","1/9/2023 12:19:45.72 PM","11.217530251","414.947509766","23.023002625"
"177","1/9/2023 12:19:45.73 PM","11.217530251","414.947509766","23.023002625"
"178","1/9/2023 12:19:45.74 PM","11.217530251","414.947509766","23.023002625"
"179","1/9/2023 12:19:45.75 PM","11.217530251","414.947509766","23.023002625"
"180","1/9/2023 12:19:45.76 PM","11.217530251","414.947509766","23.023002625"
"181","1/9/2023 12:19:45.77 PM","11.217530251","414.947509766","23.023002625"
"182","1/9/2023 12:19:45.78 PM","11.217530251","414.947509766","23.023002625"
"183","1/9/2023 12:19:45.79 PM","11.217530251","414.947509766","23.023002625"
"184","1/9/2023 12:19:45.80 PM","11.222305298","414.947509766","23.023002625"
"185","1/9/2023 12:19:45.81 PM","11.222305298","414.947509766","23.023002625"
"186","1/9/2023 12:19:45.82 PM","11.222305298","414.947509766","23.023002625"
"187","1/9/2023 12:19:45.83 PM","11.222305298","414.947509766","23.023002625"
"188","1/9/2023 12:19:45.84 PM","11.222305298","414.947509766","23.023002625"
"189","1/9/2023 12:19:45.85 PM","11.222305298","414.101318359","23.023002625"
"190","1/9/2023 12:19:45.86 PM","11.222305298","414.101318359","23.023002625"
"191","1/9/2023 12:19:45.87 PM","11.222305298","414.101318359","23.023002625"
"192","1/9/2023 12:19:45.88 PM","11.222305298","414.101318359","23.023002625"
"193","1/9/2023 12:19:45.89 PM","11.222305298","414.101318359","23.023002625"
"194","1/9/2023 12:19:45.90 PM","11.222305298","414.101318359","23.023002625"
"195","1/9/2023 12:19:45.91 PM","11.222305298","414.101318359","22.989316940"
"196","1/9/2023 12:19:45.92 PM","11.222305298","414.101318359","22.989316940"
"197","1/9/2023 12:19:45.93 PM","11.222305298","414.101318359","22.989316940"
"198","1/9/2023 12:19:45.94 PM","11.222305298","414.101318359","22.989316940"
"199","1/9/2023 12:19:45.95 PM","11.222305298","414.101318359","22.989316940"
"200","1/9/2023 12:19:45.96 PM","11.222305298","414.101318359","22.989316940"
"201","1/9/2023 12:19:45.97 PM","11.222305298","414.101318359","22.989316940"
"202","1/9/2023 12:19:45.98 PM","11.222305298","414.101318359","22.989316940"
"203","1/9/2023 12:19:45.99 PM","11.222305298","414.101318359","22.989316940"
"204","1/9/2023 12:19:46.00 PM","11.222305298","414.101318359","22.989316940"
"205","1/9/2023 12:19:46.01 PM","11.222305298","414.101318359","22.989316940"
"206","1/9/2023 12:19:46.02 PM","11.222305298","414.101318359","22.989316940"
"207","1/9/2023 12:19:46.03 PM","11.222305298","414.101318359","22.989316940"
"208","1/9/2023 12:19:46.04 PM","11.222305298","414.101318359","22.989316940"
"209","1/9/2023 12:19:46.05 PM","11.222305298","414.101318359","22.989316940"
"210","1/9/2023 12:19:46.06 PM","11.222305298","414.101318359","22.989316940"
"211","1/9/2023 12:19:46.07 PM","11.215739250","414.101318359","22.989316940"
"212","1/9/2023 12:19:46.08 PM","11.215739250","414.101318359","22.989316940"
"213","1/9/2023 12:19:46.09 PM","11.215739250","414.101318359","22.989316940"
"214","1/9/2023 12:19:46.10 PM","11.215739250","414.101318359","22.989316940"
"215","1/9/2023 12:19:46.11 PM","11.215739250","414.101318359","22.989316940"
"216","1/9/2023 12:19:46.12 PM","11.215739250","413.255676270","22.989316940"
"217","1/9/2023 12:19:46.13 PM","11.215739250","413.255676270","22.989316940"
"218","1/9/2023 12:19:46.14 PM","11.215739250","413.255676270","22.989316940"
"219","1/9/2023 12:19:46.15 PM","11.215739250","413.255676270","22.989316940"
"220","1/9/2023 12:19:46.16 PM","11.215739250","413.255676270","22.989316940"
"221","1/9/2023 12:19:46.17 PM","11.215739250","413.255676270","22.953361511"
"222","1/9/2023 12:19:46.18 PM","11.215739250","413.255676270","22.953361511"
"223","1/9/2023 12:19:46.19 PM","11.215739250","413.255676270","22.953361511"
"224","1/9/2023 12:19:46.20 PM","11.215739250","413.255676270","22.953361511"
"225","1/9/2023 12:19:46.21 PM","11.215739250","413.255676270","22.953361511"
"226","1/9/2023 12:19:46.22 PM","11.215739250","413.255676270","22.953361511"
"227","1/9/2023 12:19:46.23 PM","11.215739250","413.255676270","22.953361511"
"228","1/9/2023 12:19:46.24 PM","11.215739250","413.255676270","22.953361511"
"229","1/9/2023 12:19:46.25 PM","11.215739250","413.255676270","22.953361511"
"230","1/9/2023 12:19:46.26 PM","11.215739250","413.255676270","22.953361511"
"231","1/9/2023 12:19:46.27 PM","11.215739250","413.255676270","22.953361511"
"232","1/9/2023 12:19:46.28 PM","11.215739250","413.255676270","22.953361511"
"233","1/9/2023 12:19:46.29 PM","11.215739250","413.255676270","22.953361511"
"234","1/9/2023 12:19:46.30 PM","11.215739250","413.255676270","22.953361511"
"235","1/9/2023 12:19:46.31 PM","11.215739250","413.255676270","22.953361511"
"236","1/9/2023 12:19:46.32 PM","11.215739250","413.255676270","22.953361511"
"237","1/9/2023 12:19:46.33 PM","11.217231750","413.255676270","22.953361511"
"238","1/9/2023 12:19:46.34 PM","11.217231750","413.255676270","22.953361511"
"239","1/9/2023 12:19:46.35 PM","11.217231750","413.255676270","22.953361511"
"240","1/9/2023 12:19:46.36 PM","11.217231750","413.255676270","22.953361511"
"241","1/9/2023 12:19:46.37 PM","11.217231750","413.255676270","22.953361511"
"242","1/9/2023 12:19:46.38 PM","11.217231750","413.255676270","22.953361511"
"243","1/9/2023 12:19:46.39 PM","11.217231750","412.429016113","22.953361511"
"244","1/9/2023 12:19:46.40 PM","11.217231750","412.429016113","22.953361511"
"245","1/9/2023 12:19:46.41 PM","11.217231750","412.429016113","22.953361511"
"246","1/9/2023 12:19:46.42 PM","11.217231750","412.429016113","22.953361511"
"247","1/9/2023 12:19:46.43 PM","11.217231750","412.429016113","22.953361511"
"248","1/9/2023 12:19:46.44 PM","11.217231750","412.429016113","22.899425507"
"249","1/9/2023 12:19:46.45 PM","11.217231750","412.429016113","22.899425507"
"250","1/9/2023 12:19:46.46 PM","11.217231750","412.429016113","22.899425507"
"251","1/9/2023 12:19:46.47 PM","11.217231750","412.429016113","22.899425507"
"252","1/9/2023 12:19:46.48 PM","11.217231750","412.429016113","22.899425507"
"253","1/9/2023 12:19:46.49 PM","11.217231750","412.429016113","22.899425507"
"254","1/9/2023 12:19:46.50 PM","11.217231750","412.429016113","22.899425507"
"255","1/9/2023 12:19:46.51 PM","11.217231750","412.429016113","22.899425507"
"256","1/9/2023 12:19:46.52 PM","11.217231750","412.429016113","22.899425507"
"257","1/9/2023 12:19:46.53 PM","11.217231750","412.429016113","22.899425507"
"258","1/9/2023 12:19:46.54 PM","11.217231750","412.429016113","22.899425507"
"259","1/9/2023 12:19:46.55 PM","11.217231750","412.429016113","22.899425507"
"260","1/9/2023 12:19:46.56 PM","11.217231750","412.429016113","22.899425507"
"261","1/9/2023 12:19:46.57 PM","11.217231750","412.429016113","22.899425507"
"262","1/9/2023 12:19:46.58 PM","11.217231750","412.429016113","22.899425507"
"263","1/9/2023 12:19:46.59 PM","11.217231750","412.429016113","22.899425507"
"264","1/9/2023 12:19:46.60 PM","11.215720177","412.429016113","22.899425507"
"265","1/9/2023 12:19:46.61 PM","11.215720177","412.429016113","22.899425507"
"266","1/9/2023 12:19:46.62 PM","11.215720177","412.429016113","22.899425507"
"267","1/9/2023 12:19:46.63 PM","11.215720177","412.429016113","22.899425507"
"268","1/9/2023 12:19:46.64 PM","11.215720177","412.429016113","22.899425507"
"269","1/9/2023 12:19:46.65 PM","11.215720177","411.592376709","22.899425507"
"270","1/9/2023 12:19:46.66 PM","11.215720177","411.592376709","22.899425507"
"271","1/9/2023 12:19:46.67 PM","11.215720177","411.592376709","22.899425507"
"272","1/9/2023 12:19:46.68 PM","11.215720177","411.592376709","22.899425507"
"273","1/9/2023 12:19:46.69 PM","11.215720177","411.592376709","22.899425507"
"274","1/9/2023 12:19:46.70 PM","11.215720177","411.592376709","22.899425507"
"275","1/9/2023 12:19:46.71 PM","11.215720177","411.592376709","22.843025208"
"276","1/9/2023 12:19:46.72 PM","11.215720177","411.592376709","22.843025208"
"277","1/9/2023 12:19:46.73 PM","11.215720177","411.592376709","22.843025208"
"278","1/9/2023 12:19:46.74 PM","11.215720177","411.592376709","22.843025208"
"279","1/9/2023 12:19:46.75 PM","11.215720177","411.592376709","22.843025208"
"280","1/9/2023 12:19:46.76 PM","11.215720177","411.592376709","22.843025208"
"281","1/9/2023 12:19:46.77 PM","11.215720177","411.592376709","22.843025208"
"282","1/9/2023 12:19:46.78 PM","11.215720177","411.592376709","22.843025208"
"283","1/9/2023 12:19:46.79 PM","11.215720177","411.592376709","22.843025208"
"284","1/9/2023 12:19:46.80 PM","11.215720177","411.592376709","22.843025208"
"285","1/9/2023 12:19:46.81 PM","11.215720177","411.592376709","22.843025208"
"286","1/9/2023 12:19:46.82 PM","11.215720177","411.592376709","22.843025208"
"287","1/9/2023 12:19:46.83 PM","11.215720177","411.592376709","22.843025208"
"288","1/9/2023 12:19:46.84 PM","11.215720177","411.592376709","22.843025208"
"289","1/9/2023 12:19:46.85 PM","11.215720177","411.592376709","22.843025208"
"290","1/9/2023 12:19:46.86 PM","11.215720177","411.592376709","22.843025208"
"291","1/9/2023 12:19:46.87 PM","11.214227676","411.592376709","22.843025208"
"292","1/9/2023 12:19:46.88 PM","11.214227676","411.592376709","22.843025208"
"293","1/9/2023 12:19:46.89 PM","11.214227676","411.592376709","22.843025208"
"294","1/9/2023 12:19:46.90 PM","11.214227676","411.592376709","22.843025208"
"295","1/9/2023 12:19:46.91 PM","11.214227676","411.592376709","22.843025208"
"296","1/9/2023 12:19:46.92 PM","11.214227676","410.788574219","22.843025208"
"297","1/9/2023 12:19:46.93 PM","11.214227676","410.788574219","22.843025208"
"298","1/9/2023 12:19:46.94 PM","11.214227676","410.788574219","22.843025208"
"299","1/9/2023 12:19:46.95 PM","11.214227676","410.788574219","22.843025208"
"300","1/9/2023 12:19:46.96 PM","11.214227676","410.788574219","22.843025208"
"301","1/9/2023 12:19:46.97 PM","11.214227676","410.788574219","22.820312500"
"302","1/9/2023 12:19:46.98 PM","11.214227676","410.788574219","22.820312500"
"303","1/9/2023 12:19:46.99 PM","11.214227676","410.788574219","22.820312500"
"304","1/9/2023 12:19:47.00 PM","11.214227676","410.788574219","22.820312500"
"305","1/9/2023 12:19:47.01 PM","11.214227676","410.788574219","22.820312500"
"306","1/9/2023 12:19:47.02 PM","11.214227676","410.788574219","22.820312500"
"307","1/9/2023 12:19:47.03 PM","11.214227676","410.788574219","22.820312500"
"308","1/9/2023 12:19:47.04 PM","11.214227676","410.788574219","22.820312500"
"309","1/9/2023 12:19:47.05 PM","11.214227676","410.788574219","22.820312500"
"310","1/9/2023 12:19:47.06 PM","11.214227676","410.788574219","22.820312500"
"311","1/9/2023 12:19:47.07 PM","11.214227676","410.788574219","22.820312500"
"312","1/9/2023 12:19:47.08 PM","11.214227676","410.788574219","22.820312500"
"313","1/9/2023 12:19:47.09 PM","11.214227676","410.788574219","22.820312500"
"314","1/9/2023 12:19:47.10 PM","11.214227676","410.788574219","22.820312500"
"315","1/9/2023 12:19:47.11 PM","11.214227676","410.788574219","22.820312500"
"316","1/9/2023 12:19:47.12 PM","11.214227676","410.788574219","22.820312500"
"317","1/9/2023 12:19:47.13 PM","11.205572128","410.788574219","22.820312500"
